,mz,rt,mzmin,mzmax,rtmin,rtmax,npeaks,Average Value(non-missing),Common Name,Classification Rate,id,Proportion Missing,Imputed
195,152.030720149364,80.6713905334473,152.023675838232,152.144185145198,53.7287178039551,98.52538299560551,176,599559.0838598948,nan,nan,195,0.0,no
215,158.961023354527,1745.33630371094,158.960044713818,158.96128561621902,1741.31201171875,1747.8212890625,54,658493.684768516,nan,nan,215,0.0,no
220,162.109928345755,66.56744384765621,162.042177054555,162.113057694238,58.238277435302706,79.6680526733398,207,722118.5816833733,nan,nan,220,0.0,no
227,166.086591385435,110.555156707764,166.077891423633,166.087035980502,100.914260864258,125.917358398438,148,24932921.41709024,nan,nan,227,0.0,no
228,166.08650194705,96.2292823791504,166.07916861148502,166.087103076323,82.8725967407227,99.1861114501953,82,7729772.659766523,nan,nan,228,0.0,no
232,167.089349878177,109.6416015625,167.058404985535,167.09004957717102,82.3804626464844,126.56078338623001,223,2572863.3690021494,nan,nan,232,0.0,no
248,171.101275011577,732.999877929688,171.09938935514901,171.101996265174,731.421508789062,734.9913940429691,118,2518382.893631513,nan,nan,248,0.0,no
262,172.976344315804,1744.3435058593802,172.975475056797,172.976705040098,1735.40197753906,1747.34069824219,109,665000.5954975721,nan,nan,262,0.0,no
281,180.06379239241699,307.082855224609,180.06202919623902,180.064864018881,290.12359619140597,314.75323486328097,58,228084.04910273317,nan,nan,281,0.0,no
285,182.07870728828098,81.1398162841797,182.05450402993,182.08159321418302,61.79325866699221,85.4765167236328,179,1185189.0762422949,nan,nan,285,0.0,no
304,185.117018486734,846.262817382812,185.115867982122,185.11864157097,843.8817749023441,856.7322387695309,115,350687.85229789926,nan,nan,304,0.0,no
321,188.069185380099,167.738792419434,188.064580515998,188.193860018094,157.056716918945,188.595367431641,140,1968431.3037751343,nan,nan,321,0.0,no
324,189.111527085648,732.9939575195309,189.03637443455898,189.112307671536,717.5869750976559,734.9913940429691,120,774962.4860093691,nan,nan,324,0.0,no
341,195.086180120126,301.023971557617,195.08286781827098,195.08739775826803,273.70867919921903,318.675872802734,98,980845.2580944923,nan,nan,341,0.0,no
343,195.08544326568,240.337921142578,195.08207782303,195.086902363555,217.920349121094,258.823333740234,51,650941.8683959799,nan,nan,343,0.0,no
376,203.156655543901,68.69435882568361,203.045169035784,203.22458235045602,57.7885856628418,73.6420593261719,174,1405989.2502243065,nan,nan,376,0.1271186440677966,knn
380,205.093763177907,128.381546020508,205.00755958438702,205.098706450518,113.03277587890601,147.255325317383,183,3482563.907714776,nan,nan,380,0.0,no
384,205.222479573368,167.738998413086,205.091746303662,205.269816639267,157.716873168945,170.223007202148,258,962578.649312965,nan,nan,384,0.0,no
402,211.09414513948798,733.5381469726559,211.09263267481202,211.13240044587,724.182983398438,745.6183471679691,227,1238998.6191719302,nan,nan,402,0.0,no
404,212.019195553456,833.099975585938,212.018550047663,212.019709445741,831.7683715820309,835.76318359375,38,88760.45681338974,nan,nan,404,0.0847457627118644,knn
443,223.096083575812,881.4815063476559,223.093683109867,223.132207719998,864.775024414062,897.427734375,122,710328.1829431155,nan,nan,443,0.0,no
459,226.951531828886,57.9644870758057,226.946041860253,227.125433148587,53.3050003051758,79.7941055297852,102,310624.62947379274,nan,nan,459,0.0,no
468,229.14280872314998,788.1221313476559,229.049387018148,229.144570295895,777.38232421875,791.850708007812,116,1116643.9642692339,nan,nan,468,0.0,no
487,235.179333205925,599.7371826171881,235.17774676209498,235.18046280179297,596.38134765625,627.37744140625,37,51006.107221880426,nan,nan,487,0.19491525423728814,knn
489,235.179080042297,581.0230712890619,235.17779254586603,235.17994254152902,575.60986328125,588.2247314453119,19,18595.74123572293,nan,nan,489,0.1694915254237288,knn
515,244.263278881138,958.0253295898441,244.26185195937802,244.26380003865,956.192016601562,960.413452148438,81,356956.29197474103,nan,nan,515,0.0,no
525,245.184693085906,622.173614501953,245.182175793158,245.18564178931499,607.885559082031,639.9630126953119,66,106594.94930559545,nan,nan,525,0.0,no
530,247.15347364462602,787.173217773438,247.13449524880002,247.15545503043398,778.2374877929691,791.850708007812,113,969308.152967414,nan,nan,530,0.0,no
566,257.174877503302,875.6245727539059,257.17289913913396,257.234742075911,874.5365600585941,885.7601928710941,144,1241792.950752876,nan,nan,566,0.0,no
572,258.109584958208,70.16986083984379,257.947996402178,258.11089374744597,57.0802726745605,75.4593124389648,95,441943.5405550032,nan,nan,572,0.0,no
574,258.178715495085,875.576538085938,258.125579703416,258.206587586479,862.256103515625,876.6057739257809,119,189215.84359481686,nan,nan,574,0.0,no
584,261.169087530483,831.849517822266,261.167908661834,261.169804902557,829.8331909179691,842.3037719726559,102,184873.63130431768,nan,nan,584,0.0,no
610,269.13551739174403,788.1212768554691,269.07628193533697,269.138117461684,785.306396484375,793.7732543945309,112,1008174.3124163019,nan,nan,610,0.0,no
633,273.168933756463,744.3984375,273.166226524697,273.179728687501,724.5776977539059,749.0469360351559,101,222503.56870938226,nan,nan,633,0.0,no
641,275.185407326152,875.5750122070309,275.037966722767,275.18613304557897,874.0762329101559,882.1306762695309,119,3302480.550437232,nan,nan,641,0.0,no
647,276.188388924945,875.5741577148441,276.039853297957,276.189224184977,874.5283203125,877.4774780273441,116,518158.5596758726,nan,nan,647,0.0,no
660,279.16896201632704,667.009735107422,279.165602052282,279.170465772684,661.867431640625,669.4984130859381,110,236786.30961225033,nan,nan,660,0.0,no
665,280.092072119803,59.6259956359863,279.953187407182,280.095639865099,55.5441970825195,71.4465789794922,126,4031407.3814183995,nan,nan,665,0.0,no
700,284.294808392029,1262.34838867188,284.27230771616297,284.295922188484,1260.13464355469,1274.1748046875,125,167801.84659785512,nan,nan,700,0.0,no
722,288.290541029589,956.5380249023441,288.288683308756,288.498611976976,944.6160278320309,969.9147338867191,268,1647560.1697254463,nan,nan,722,0.0,no
730,289.29311954804797,955.7932739257809,289.291510903765,289.500891821703,954.636596679688,959.5037231445309,90,708744.5222514131,nan,nan,730,0.0,no
746,293.247773537509,1179.7060546875,293.247071309011,293.24868850394597,1175.68981933594,1184.01342773438,118,1148922.72325065,nan,nan,746,0.0,no
749,294.15209521214297,85.28299999998,294.097536258819,294.15471162171,72.85874938964841,89.5074615478516,121,2062025.303969313,nan,nan,749,0.0,no
768,297.16719226232203,875.597290039062,297.16470296297996,297.258491521278,874.5365600585941,896.9379272460941,117,1200927.082869706,nan,nan,768,0.0,no
771,297.279471791967,1233.67962646484,297.278272555705,297.280784569549,1231.67614746094,1235.15881347656,118,3982359.2366601983,nan,nan,771,0.0,no
780,298.282358743053,1233.68200683594,298.27774682222304,298.28391514157,1231.67614746094,1235.5732421875,117,853230.9541455248,nan,nan,780,0.0,no
790,300.290656820893,1172.43841552734,300.28933860889,300.291478514728,1169.79821777344,1177.05432128906,118,6216479.498281916,nan,nan,790,0.0,no
798,301.29354674847,1172.45196533203,301.148384804557,301.29464198704,1169.79821777344,1177.05432128906,118,1270311.4459165607,nan,nan,798,0.0,no
816,304.28469800514097,973.243774414062,304.23051251733995,304.285471943456,971.7490844726559,975.2603149414059,119,977212.3160375454,nan,nan,816,0.0,no
833,309.242472173456,1194.95428466797,309.223155137098,309.243622224601,1180.3779296875,1198.515625,184,1913103.384805632,nan,nan,833,0.0,no
843,310.310732332352,1275.33276367188,310.309987075025,310.31196605442403,1260.48693847656,1282.21044921875,117,595868.0192528815,nan,nan,843,0.0,no
866,313.154135574381,684.6395263671881,313.150321480333,313.155191197509,677.542053222656,686.774169921875,117,3144635.8786330586,nan,nan,866,0.0,no
889,316.321383065299,1017.3359069824199,316.226181799941,316.322270530301,1010.42944335938,1038.64868164062,150,3563097.297018509,nan,nan,889,0.0,no
892,317.24787707036,1192.64978027344,317.20956315346297,317.249067668478,1179.07104492188,1205.88488769531,121,1066886.770588796,nan,nan,892,0.0,no
953,328.139110768236,107.649101257324,328.11708217398103,328.139818415481,83.1475524902344,121.05899047851601,118,1059672.014143207,nan,nan,953,0.0,no
956,328.322164871692,1236.76928710938,328.233200851268,328.32277788238497,1228.95104980469,1238.6298828125,124,6038525.804653012,nan,nan,956,0.0,no
966,329.325049621301,1236.91528320312,329.32375312617,329.325891849266,1234.39465332031,1238.6298828125,117,1364829.2694802086,nan,nan,966,0.0,no
984,332.331333522499,1086.17553710938,332.22910023605704,332.332408342537,1076.74426269531,1098.38391113281,93,612590.3624936666,nan,nan,984,0.0,no
1015,338.342793323528,1325.10803222656,338.34195773611,338.343740786432,1313.09826660156,1327.11315917969,122,3946086.3888288736,nan,nan,1015,0.0,no
1023,339.345701963925,1325.10803222656,339.345058131409,339.346585069758,1313.73388671875,1327.11315917969,119,967477.2672407425,nan,nan,1023,0.0,no
1075,350.326335114229,1190.52520751953,350.268557879279,350.327011744795,1185.17822265625,1202.5009765625,92,406044.6804617601,nan,nan,1075,0.0,no
1097,356.27979329837996,1035.75012207031,356.242168173425,356.28107624091103,1025.58984375,1038.92211914062,119,893551.5395513604,nan,nan,1097,0.0,no
