,mz,rt,mzmin,mzmax,rtmin,rtmax,npeaks,Average Value(non-missing),Common Name,Classification Rate,id,Proportion Missing,Imputed
80,113.96344991283001,1744.83996582031,113.962620098891,113.96379805325199,1730.93103027344,1757.25891113281,98,172109.33449698673,nan,nan,80,0.0,no
83,113.96299447132401,1844.73889160156,113.96134641831301,113.963621657607,1826.302734375,1858.0939941406198,118,118797.18774352112,nan,nan,83,0.0,no
95,118.120135322541,75.8065872192383,118.027113749465,118.24833814186701,59.5879135131836,84.4728088378906,432,1065594.9224693014,nan,nan,95,0.025423728813559324,knn
100,120.080670202814,96.2312698364258,120.07393733810301,120.08122561101001,83.8047637939453,99.1861114501953,87,1221823.4793203543,nan,nan,100,0.059322033898305086,knn
103,120.18068531781601,109.623413085938,120.17986955849899,120.314393254703,95.671142578125,111.98883056640601,155,81564.15880699127,nan,nan,103,0.0,no
108,122.058562381231,101.36117553710899,122.057600678326,122.060156496629,97.6353530883789,105.04841613769501,31,31857.16903870147,nan,nan,108,0.0,no
111,124.062772938624,122.557109832764,124.00924412038201,124.065838401349,114.554588317871,133.34245300293,58,38044.42070457711,nan,nan,111,0.01694915254237288,knn
115,125.09562713125099,875.5949096679691,125.09476343379801,125.096113600849,874.604858398438,876.7205200195309,61,31153.879763399942,nan,nan,115,0.00847457627118644,knn
117,125.059986011557,786.16259765625,125.059178057295,125.095426712957,785.6630859375,790.5745239257809,41,10278.61310834458,nan,nan,117,0.05084745762711865,knn
118,125.09593053999201,845.8378295898441,125.094817870368,125.09682561509399,844.4174194335941,848.0780639648441,39,21816.81119042785,nan,nan,118,0.00847457627118644,knn
120,125.98585149668999,53.527439117431605,125.985281446104,125.986449815007,49.7267570495605,55.7053451538086,30,65268.79305837504,nan,nan,120,0.0,no
123,127.07162341802099,122.02752685546899,127.06515876391799,127.073899888588,103.463768005371,128.381546020508,111,146764.81507928454,nan,nan,123,0.0,no
126,129.064102029699,69.1336669921875,128.985395915876,129.066509839143,53.2550773620605,75.9887466430664,80,35539.82011149752,nan,nan,126,0.00847457627118644,knn
127,129.051609375421,81.3430709838867,129.04576025046498,129.101528940305,77.4611511230469,85.623291015625,65,29422.074383494928,nan,nan,127,0.05084745762711865,knn
128,129.126095457988,615.511291503906,129.124584872248,129.12700690296,610.71337890625,626.701599121094,63,49013.84463688852,nan,nan,128,0.01694915254237288,knn
130,130.050332566035,79.6702613830566,130.041065404129,130.154107882265,62.7409133911133,85.4765167236328,276,289704.3570214676,nan,nan,130,0.0,no
131,130.157597043288,345.26858520507795,130.15582133924698,130.262408757462,334.034820556641,355.500885009766,36,707394.6254606211,nan,nan,131,0.0,no
132,130.157583584123,290.153411865234,130.15567369869302,130.26147020532,273.115081787109,307.12103271484403,31,480036.475429838,nan,nan,132,0.0,no
134,132.050397580224,121.587440490723,132.043746384976,132.100316029467,109.624557495117,128.19851684570298,65,89324.079446674,nan,nan,134,0.03389830508474576,knn
135,132.205692150061,85.8430671691895,132.076209734452,132.27281559275698,58.238277435302706,97.864990234375,570,7115524.853480038,nan,nan,135,0.0,no
137,133.101965016023,84.7183837890625,133.025349012101,133.105608227078,71.90589904785159,97.8666534423828,211,1297985.5017682742,nan,nan,137,0.0,no
140,134.018642284272,62.950761795043896,134.014386801245,134.11762153090402,54.0604476928711,76.43446350097659,154,32075.815333774746,nan,nan,140,0.0,no
146,135.09889351591298,183.960868835449,135.007253139196,135.10035480204598,179.94627380371102,197.764572143555,36,87710.29492223484,nan,nan,146,0.0,no
147,136.02082063939,758.1885375976559,136.01960994082398,136.021337818012,755.733276367188,761.418579101562,14,66520.51699314005,nan,nan,147,0.025423728813559324,knn
148,136.046122223878,64.3937034606934,136.002153571289,136.07452655368098,57.339115142822294,72.8040008544922,132,138992.39611769287,nan,nan,148,0.0,no
151,137.064661459878,64.0423431396484,137.041739194732,137.075307926247,54.4189605712891,69.82452392578121,74,33428.259744171315,nan,nan,151,0.0,no
156,140.066742029654,64.14369964599611,140.025391031366,140.06840723758,58.1981048583984,82.1384811401367,114,396006.33267100196,nan,nan,156,0.0,no
160,141.554555992009,846.271240234375,141.55385733980802,141.555348748076,845.570922851562,848.9629516601559,19,7848.37493557614,nan,nan,160,0.025423728813559324,knn
162,141.957640681706,1854.15026855469,141.956340136416,141.95820326491997,1820.83898925781,1878.1003417968802,249,256290.11749111235,nan,nan,162,0.0,no
164,141.95758562410902,1899.32121728517,141.956117975013,141.958080695484,1892.72131347656,1906.74755859375,76,242623.84854425926,nan,nan,164,0.0,no
165,141.957711415423,1915.0322265625,141.955586216692,141.958071513478,1907.3425292968802,1920.31628417969,80,172372.7376728334,nan,nan,165,0.0,no
173,143.030218587181,61.9786224365234,142.898970305993,143.031685848757,53.7287178039551,69.82452392578121,183,65203.321706292045,nan,nan,173,0.0,no
178,145.104773622788,69.9135894775391,144.993036588223,145.105286132893,53.2659759521484,82.2145080566406,57,26114.429969123663,nan,nan,178,0.0,no
182,147.076419391113,71.40032958984379,146.980187729867,147.108663960612,65.5054473876953,92.01575469970699,91,49532.13981851606,nan,nan,182,0.059322033898305086,knn
183,148.06288176591298,72.0683517456055,148.0474746273,148.11570065471,54.146690368652294,84.97499084472659,183,75172.40862674864,nan,nan,183,0.0,no
