,mz,rt,mzmin,mzmax,rtmin,rtmax,npeaks,Average Value(non-missing),Common Name,Classification Rate,id,Proportion Missing,Imputed
280,177.582628857038,876.0391235351559,177.58193537257802,177.583955360004,875.0750122070309,876.5823364257809,43,11794.985380207874,nan,nan,280,0.0423728813559322,knn
281,180.06379239241699,307.082855224609,180.06202919623902,180.064864018881,290.12359619140597,314.75323486328097,58,228084.04910273317,nan,nan,281,0.0,no
306,185.080443525596,94.4527053833008,185.061287101213,185.12758893841598,83.7181854248047,111.60900115966801,70,29612.996871763342,nan,nan,306,0.0,no
309,185.56884311103298,876.0441284179691,185.56805391667498,185.56948915723098,875.0750122070309,876.576171875,50,12690.812858558938,nan,nan,309,0.05084745762711865,knn
322,188.091522078718,71.4709396362305,188.034616757919,188.17478165124803,53.61271667480471,87.194580078125,72,28103.49037309376,nan,nan,322,0.06779661016949153,knn
326,189.11117088464002,784.6735229492191,189.109878193476,189.111537938196,783.7001342773441,785.668334960938,29,13761.949071864059,nan,nan,326,0.0,no
327,189.112009338344,875.57373046875,189.111090713954,189.1627009791,864.185424804688,891.0272827148441,37,9322.672152405099,nan,nan,327,0.0423728813559322,knn
331,190.104797710592,81.83522033691409,190.093927414466,190.11483318850398,66.04684448242189,93.4421920776367,79,61919.15007576683,nan,nan,331,0.0,no
332,190.125456804388,845.560546875,190.12429685839402,190.126138711136,843.9169921875,846.6666870117191,29,15059.691675998862,nan,nan,332,0.00847457627118644,knn
333,191.07478729662898,58.08857727050779,191.033126481706,191.07694545182702,54.453163146972706,67.5097198486328,121,45078.79630151415,nan,nan,333,0.0,no
335,191.16321913632802,860.6852416992191,191.16235597252498,191.16423858330398,859.780395507812,862.9747924804691,33,11169.452892177931,nan,nan,335,0.0,no
349,197.077735142177,660.484166259776,197.07637556583,197.116796960913,656.566162109375,673.0257568359381,132,124253.15768518354,nan,nan,349,0.0,no
351,197.087326695574,84.7642593383789,197.083594570997,197.089677872336,82.7264175415039,89.0031585693359,46,18275.513950334094,nan,nan,351,0.00847457627118644,knn
352,197.07927179240698,709.997802734375,197.077699303642,197.08177666314097,707.4766235351559,711.3876342773441,38,15583.853713730849,nan,nan,352,0.05084745762711865,knn
366,201.11172864215402,828.7162475585941,201.11094879592,201.11250741409302,827.390991210938,831.6188354492191,27,10128.97402498897,nan,nan,366,0.00847457627118644,knn
370,202.10645585637198,81.1752052307129,202.070114927579,202.18014634173198,61.795379638671896,85.654296875,78,28804.14612631669,nan,nan,370,0.00847457627118644,knn
