,mz,rt,mzmin,mzmax,rtmin,rtmax,npeaks,Average Value(non-missing),Common Name,Classification Rate,id,Proportion Missing,Imputed
248,171.101275011577,732.999877929688,171.09938935514901,171.101996265174,731.421508789062,734.9913940429691,118,2518382.893631513,nan,nan,248,0.0,no
281,180.06379239241699,307.082855224609,180.06202919623902,180.064864018881,290.12359619140597,314.75323486328097,58,228084.04910273317,nan,nan,281,0.0,no
285,182.07870728828098,81.1398162841797,182.05450402993,182.08159321418302,61.79325866699221,85.4765167236328,179,1185189.0762422949,nan,nan,285,0.0,no
304,185.117018486734,846.262817382812,185.115867982122,185.11864157097,843.8817749023441,856.7322387695309,115,350687.85229789926,nan,nan,304,0.0,no
321,188.069185380099,167.738792419434,188.064580515998,188.193860018094,157.056716918945,188.595367431641,140,1968431.3037751343,nan,nan,321,0.0,no
341,195.086180120126,301.023971557617,195.08286781827098,195.08739775826803,273.70867919921903,318.675872802734,98,980845.2580944923,nan,nan,341,0.0,no
343,195.08544326568,240.337921142578,195.08207782303,195.086902363555,217.920349121094,258.823333740234,51,650941.8683959799,nan,nan,343,0.0,no
364,201.111146418875,656.634490966797,201.110013806435,201.12276933953098,643.02685546875,673.65478515625,48,221334.79176022907,nan,nan,364,0.0,no
376,203.156655543901,68.69435882568361,203.045169035784,203.22458235045602,57.7885856628418,73.6420593261719,174,1405989.2502243065,nan,nan,376,0.1271186440677966,knn
384,205.222479573368,167.738998413086,205.091746303662,205.269816639267,157.716873168945,170.223007202148,258,962578.649312965,nan,nan,384,0.0,no
387,206.098700712758,167.751525878906,206.094268668316,206.099593698372,157.716873168945,170.223007202148,116,1030834.4003561197,nan,nan,387,0.0,no
402,211.09414513948798,733.5381469726559,211.09263267481202,211.13240044587,724.182983398438,745.6183471679691,227,1238998.6191719302,nan,nan,402,0.0,no
468,229.14280872314998,788.1221313476559,229.049387018148,229.144570295895,777.38232421875,791.850708007812,116,1116643.9642692339,nan,nan,468,0.0,no
487,235.179333205925,599.7371826171881,235.17774676209498,235.18046280179297,596.38134765625,627.37744140625,37,51006.107221880426,nan,nan,487,0.19491525423728814,knn
